Breed Name,"Avg. Life Span, years",Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Tolerates Being Alone,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Amount Of Shedding,Easy To Groom,General Health,Size,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Energy Level,Exercise Needs,Potential For Playfulness,Dog Breed Group_Herding Dogs,Dog Breed Group_Hound Dogs,Dog Breed Group_Hybrid Dogs,Dog Breed Group_Mixed Breed Dogs,Dog Breed Group_Non-Sporting Dogs,Dog Breed Group_Sporting Dogs,Dog Breed Group_Terrier Dogs,Dog Breed Group_Working Dogs
Afador,11.0,2.4,1,1,3,4,2,3,1,4,2,3,4,1.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,0,0,0,1,0,0,0,0
Affenhuahua,16.0,3.0,4,4,1,4,3,2,2,2,4,4,1,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,0,0,0,1,0,0,0,0
Affenpinscher,13.0,3.2,5,4,1,5,1,4,3,1,3,4,1,2.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,0,0,0,0,0,0,0,0
Afghan Hound,11.0,4.0,5,3,2,5,5,4,2,4,1,3,4,1.0,4.0,3.0,5.0,2.0,5.0,4.0,4.0,0,1,0,0,0,0,0,0
Airedale Terrier,12.0,2.2,1,2,2,4,4,4,3,2,2,3,3,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0,0,0,0,0,0,1,0
Akbash,11.0,2.8,1,2,4,5,4,3,2,4,3,4,4,3.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1
Akita,11.0,3.0,2,2,1,5,1,1,2,5,1,4,4,2.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,0,0,0,0,0,0,0,1
Akita Chow,11.0,2.8,2,1,2,1,1,1,2,4,1,2,4,2.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,0,0,0,1,0,0,0,0
Akita Pit,11.0,2.6,3,1,4,4,3,3,2,3,4,4,4,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,0,0,0,1,0,0,0,0
Akita Shepherd,12.0,3.0,3,3,3,4,3,3,3,4,3,3,4,4.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,0,0,0,1,0,0,0,0
Alaskan Husky,12.5,3.0,3,3,3,5,5,5,5,3,4,4,3,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
Alaskan Klee Kai,14.0,3.2,3,2,2,4,3,2,2,4,4,4,2,4.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0
Alaskan Malamute,14.0,2.4,1,1,1,4,3,2,5,5,1,4,4,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
American Bulldog,13.0,1.8,1,1,1,5,4,2,2,1,4,3,4,4.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1
English Coonhound,11.0,2.8,1,2,2,5,5,4,5,3,5,4,3,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
American Eskimo,14.0,4.0,5,4,2,5,5,5,4,5,3,5,2,5.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,0,0,0,0,0,0,0,0
American Foxhound,12.0,2.0,1,2,1,4,5,5,4,3,5,5,3,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
American Hairless Terrier,14.0,2.6,4,3,2,4,4,3,3,1,5,4,2,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,0,0,0,0,0,0,1,0
American Leopard Hound,14.0,3.2,2,4,3,5,4,4,3,2,4,4,4,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0,1,0,0,0,0,0,0
American Pit Bull Terrier,14.0,2.4,3,2,1,5,5,1,5,4,5,4,3,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,0,0,0,0,0,0,1,0
Pit Bull,14.0,2.4,3,2,1,5,5,1,5,4,5,4,3,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,0,0,0,0,0,0,1,0
American Pugabull,13.0,2.6,3,3,1,5,4,3,3,3,4,2,3,3.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,0,0,0,1,0,0,0,0
American Staffordshire Terrier,12.0,2.2,2,2,2,4,4,2,4,2,4,3,3,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,0,0,0,0,0,0,1,0
American Water Spaniel,14.0,2.4,2,2,1,5,5,2,3,3,3,3,3,4.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Anatol Shepherd,12.0,3.0,1,2,3,3,2,2,1,2,4,3,5,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,0,0,0,0,0,0,0,1
Appenzeller Sennenhunde,10.0,2.6,1,3,1,5,5,3,2,3,5,4,3,4.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,1,0,0,0,0,0,0,0
Auggie,14.0,3.2,2,3,3,5,5,5,4,4,2,3,3,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
